Crop,Season,Province,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Wheat,Rabi,Punjab,100,120000,600,120,30,1200
Wheat,Rabi,Punjab,150,185000,650,130,35,1233
Wheat,Rabi,Sindh,80,90000,400,110,25,1125
Rice,Kharif,Punjab,100,250000,900,150,40,2500
Rice,Kharif,Sindh,120,310000,850,160,45,2583
Cotton,Kharif,Punjab,100,80000,500,140,50,800
Cotton,Kharif,Sindh,90,75000,450,135,45,833
Sugarcane,Kharif,Punjab,100,6000000,1000,200,60,60000
Maize,Kharif,KPK,50,150000,800,120,30,3000
Wheat,Rabi,Balochistan,40,35000,300,100,20,875
Wheat,Rabi,Punjab,200,250000,620,125,32,1250
Rice,Kharif,Punjab,180,460000,920,155,42,2555
Cotton,Kharif,Sindh,110,95000,460,140,48,863
Maize,Kharif,Punjab,70,220000,750,130,35,3142
Wheat,Rabi,KPK,60,65000,550,115,28,1083
Rice,Kharif,Sindh,150,390000,880,165,46,2600
Sugarcane,Kharif,Sindh,80,4500000,900,190,55,56250
Cotton,Kharif,Punjab,120,100000,520,145,52,833
Wheat,Rabi,Punjab,130,160000,610,122,31,1230
Rice,Kharif,Punjab,110,280000,910,152,41,2545
